Workstream,Task,Owner,Start Date,End Date,Duration (Days),Depends On,Deliverable
Company Formation,Register Biowell in UAE Free Zone,Founder,2025-05-12,2025-05-26,14,,Legal company registration certificate
Company Formation,Open business bank account,Founder,2025-05-27,2025-06-06,10,Register Biowell in UAE Free Zone,Active business bank account
Brand and UX/UI,"Finalize brand identity (logo, colors, fonts)",Brand Designer,2025-05-17,2025-05-27,10,,Brand kit assets
Brand and UX/UI,UX/UI design for MVP web app,UX/UI Designer,2025-05-28,2025-06-11,14,"Finalize brand identity (logo, colors, fonts)",Figma prototype
Tech Stack & Dev,Finalize MVP feature scope,Founder,2025-05-22,2025-05-27,5,,Feature list document
Tech Stack & Dev,Develop MVP web app & chat,Developer,2025-06-01,2025-07-01,30,Finalize MVP feature scope,Working MVP (web/chat interface)
Supplements,Finalize partnership terms with AKI,Founder,2025-05-17,2025-05-27,10,,Signed term sheet or LOI
Supplements,Select initial SKUs for marketplace,Founder + AKI,2025-05-28,2025-06-04,7,Finalize partnership terms with AKI,Initial SKU list confirmed
Legal,Draft terms of service & privacy policy,Legal Advisor,2025-06-03,2025-06-13,10,,TOS & Privacy Policy docs
Legal,Product liability disclaimer & compliance,Legal Advisor,2025-06-13,2025-06-23,10,,Compliance statement
Content,Draft onboarding quiz & stack logic,Founder,2025-05-24,2025-06-03,10,,Onboarding flow draft
Content,"Write supplement stack content (benefits, usage)",Copywriter,2025-06-03,2025-06-17,14,Select initial SKUs for marketplace,Live stack content
Fundraising,Build updated pitch deck (aligned to new roadmap),Founder + Designer,2025-05-27,2025-06-06,10,,Finalized deck (PDF + Slides)
Fundraising,Prepare financial model + cash flow,Founder,2025-06-07,2025-06-17,10,,Investor-ready financials
Fundraising,Conduct practice pitches,Founder,2025-06-18,2025-06-23,5,Build updated pitch deck (aligned to new roadmap),Recorded mock pitches
Fundraising,"Start outreach to friends, family, angels",Founder,2025-06-24,2025-07-08,14,Conduct practice pitches,Meetings scheduled & tracked
